Date,Open,High,Low,Close,Volume,MA20,MA60,RSI,MACD,MACD_signal,technical_signal,sentiment_score,risk_score,daily_return,buy_hold_return,technical_position,technical_return,tech_sent_position,tech_sent_return,multi_agent_position,multi_agent_return,buy_hold_curve,technical_curve,tech_sent_curve,multi_agent_curve
2021-10-21,148.81,149.64,147.87,149.48,61420990,143.875,147.08016666666666,61.52989084123591,0.37350189714851467,-0.6964518895038975,0,0.1,0.4,0.001473938094600058,0.001473938094600058,0,0.0,0,0.0,1,0.001473938094600058,0.9990642962170825,0.9811631429888686,0.9811631429888686,0.9979449748292615
2021-10-22,149.69,150.18,148.64,148.69,58883440,143.9635,147.131,58.863916474560824,0.5750401540819894,-0.4421534807867201,0,0.1,0.4,-0.005284987958255272,-0.005284987958255272,0,-0.0,0,-0.0,1,-0.005284987958255272,0.9937842534420525,0.9811631429888686,0.9811631429888686,0.9926708476542875
2021-10-25,148.68,149.37,147.6211,148.64,50720560,144.127,147.17733333333334,58.69058960489137,0.7223987296956125,-0.20924303869025362,0,0.3,0.4,-0.00033627009213810233,-0.00033627009213810233,0,-0.0,0,-0.0,1,-0.00033627009213810233,0.9934500735195821,0.9811631429888686,0.9811631429888686,0.992337042136884
2021-10-26,149.33,150.84,149.0101,149.32,60893400,144.4975,147.24066666666664,60.39845055849838,0.8838631552653169,0.00937820010086049,0,0.3,0.4,0.00457481162540363,0.00457481162540363,0,0.0,0,0.0,1,0.00457481162540363,0.9979949204651776,0.9811631429888686,0.9811631429888686,0.9968767971735705
2021-10-27,149.36,149.73,148.49,148.85,56094930,144.7985,147.2655,58.59526804553573,0.9628012305092284,0.20006280618253408,0,0.3,0.4,-0.0031476024645057388,-0.0031476024645057388,0,-0.0,0,-0.0,1,-0.0031476024645057388,0.9948536291939571,0.9811631429888686,0.9811631429888686,0.9937390253099784
2021-10-28,149.82,153.165,149.72,152.57,100077900,145.352,147.35916666666665,66.9943519401472,1.3104273438141263,0.42213571370885256,0,0.3,0.4,0.024991602284178738,0.024991602284178738,0,0.0,0,0.0,1,0.024991602284178738,1.0197166154257444,0.9811631429888686,0.9811631429888686,1.0185741558047927
2021-10-29,147.215,149.94,146.4128,149.8,124953200,145.7095,147.40483333333336,57.62119822166452,1.3468816793799476,0.6070849068430716,0,0.3,0.4,-0.0181556007078717,-0.0181556007078717,0,-0.0,0,-0.0,1,-0.0181556007078717,1.0012030477208922,0.9811631429888686,0.9811631429888686,1.0000813301406435
2021-11-01,148.985,149.7,147.8,148.96,74588260,146.20049999999998,147.45183333333335,55.10345974519104,1.2930851425226138,0.7442849539789801,0,0.3,0.4,-0.005607476635514086,-0.005607476635514086,0,-0.0,0,-0.0,1,-0.005607476635514086,0.9955888250233917,0.9811631429888686,0.9811631429888686,0.994473397448266
2021-11-02,148.66,151.57,148.65,150.02,69121990,146.64600000000002,147.51733333333334,57.61998175813463,1.3207592501982504,0.8595798132228343,0,0.3,0.4,0.007116004296455536,0.007116004296455536,0,0.0,0,0.0,1,0.007116004296455536,1.0026734393797614,0.9811631429888686,0.9811631429888686,1.0015500744172185
2021-11-03,150.39,151.97,149.82,151.49,54511530,147.1205,147.6155,60.89362655074845,1.4446548131897146,0.9765948132162104,0,0.3,0.4,0.009798693507532263,0.009798693507532263,0,0.0,0,0.0,1,0.009798693507532263,1.0124983291003868,0.9811631429888686,0.9811631429888686,1.011363956628879
2021-11-04,151.58,152.43,150.64,150.96,60394620,147.504,147.70049999999998,59.12045243766955,1.4829814814800102,1.0778721468689705,0,0.3,0.4,-0.0034985807644069,-0.0034985807644069,0,-0.0,0,-0.0,1,-0.0034985807644069,1.008956021922202,0.9811631429888686,0.9811631429888686,1.0078256181444027
2021-11-05,151.89,152.2,150.06,151.28,65463880,147.923,147.74033333333333,59.88007601580888,1.5216364896108132,1.1666250154173392,1,0.3,0.4,0.002119766825649183,0.002119766825649183,1,0.0,1,0.0,1,0.002119766825649183,1.0110947734260116,0.9811631429888686,0.9811631429888686,1.0099619734557845
2021-11-08,151.41,151.57,150.16,150.44,55020870,148.3045,147.76266666666666,56.8915691404353,1.4675726186066242,1.2268145360551963,1,0.6,0.3,-0.005552617662612391,-0.005552617662612391,1,-0.005552617662612391,1,-0.005552617662612391,1,-0.005552617662612391,1.0054805507285112,0.9757151191912043,0.9757151191912043,1.004354040763407
2021-11-09,150.2,151.428,150.0601,150.81,56787930,148.76950000000002,147.7575,57.888532984984934,1.438006080143424,1.2690528448728418,1,0.6,0.3,0.0024594522733316637,0.0024594522733316637,1,0.0024594522733316637,1,0.0024594522733316637,1,0.0024594522733316637,1.007953482154791,0.9781148439592232,0.9781148439592232,1.0068242015921924
2021-11-10,150.02,150.13,147.85,147.92,65187090,149.11999999999998,147.71966666666668,48.46113980207207,1.167912569038151,1.2488247897059037,0,0.6,0.3,-0.01916318546515494,-0.01916318546515494,0,-0.01916318546515494,0,-0.01916318546515494,1,-0.01916318546515494,0.98863788263601,0.9593710477982116,0.9593710477982116,0.9875302426862747
2021-11-11,148.96,149.43,147.681,147.87,40999950,149.3255,147.74483333333333,48.314539869913716,0.9390026948782975,1.1868603707403826,0,0.6,0.3,-0.0003380205516494428,-0.0003380205516494428,0,-0.0,0,-0.0,1,-0.0003380205516494428,0.9883037027135398,0.9593710477982116,0.9593710477982116,0.9871964371688713
